0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:11:26 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:30 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:31 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:12:31 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:42 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:43 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:43 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:13:43 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:22 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:14:44 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:15:09 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
